[2025-01-27 12:19:43.606] [INFO]     [Main] Application starting...
[2025-01-27 12:19:43.607] [INFO]     [Main] GNS must Be Running...
[2025-01-27 12:19:43.608] [INFO]     [Main] Running as Server -> FESTO1...
The Global Name space is already in use. GNS or another global service is already running.
[2025-01-27 12:19:43.636] [TRACE]    [PulseMsgHandler] Creating GNS channel...
[2025-01-27 12:19:43.637] [TRACE]    [PulseMsgHandler] Created GNS channel...
[2025-01-27 12:19:43.639] [DEBUG]    [Decoder] Initializing Decoder
[2025-01-27 12:19:43.640] [TRACE]    [Dispatcher] Replying to connection...
[2025-01-27 12:19:43.641] [DEBUG]    [Decoder] NAME_FLAG_ATTACH_GLOBAL: 2
[2025-01-27 12:19:43.641] [DEBUG]    [Decoder] dispatcherConnectionID: 1073741830
[2025-01-27 12:19:43.643] [TRACE]    [Dispatcher] Replying to connection...
[2025-01-27 12:19:43.644] [TRACE]    [FSMController] Sending pulse: PULSE_MOTOR1_STOP
[2025-01-27 12:19:43.645] [TRACE]    [PositionTracker.onMotorSlow] [FST2] Motor Slow
[2025-01-27 12:19:43.646] [TRACE]    [FSMController] Sending pulse: PULSE_MOTOR2_STOP
[2025-01-27 12:19:43.647] [TRACE]    [FSMController] Sending pulse: PULSE_LR1_OFF
[2025-01-27 12:19:43.648] [TRACE]    [FSMController] Sending pulse: PULSE_LG1_OFF
[2025-01-27 12:19:43.648] [TRACE]    [FSMController] Sending pulse: PULSE_LG2_OFF
[2025-01-27 12:19:43.649] [TRACE]    [FSMController] Sending pulse: PULSE_LY1_OFF
[2025-01-27 12:19:43.649] [TRACE]    [FSMController] Sending pulse: PULSE_LR2_OFF
[2025-01-27 12:19:43.650] [TRACE]    [FSMController] Sending pulse: PULSE_LY2_OFF
[2025-01-27 12:19:43.651] [TRACE]    [PulseMsgHandler] Creating GNS channel...
[2025-01-27 12:19:43.652] [TRACE]    [PulseMsgHandler] Created GNS channel...
[2025-01-27 12:19:43.653] [TRACE]    [ActuatorController] Connection to Dispatcher...
[2025-01-27 12:19:43.654] [TRACE]    [Dispatcher] Replying to connection...
[2025-01-27 12:19:43.655] [DEBUG]    [ActuatorController] SM_TYPE is ...1
[2025-01-27 12:19:43.655] [TRACE]    [Dispatcher] received PULSE_SUBSCRIBE...
[2025-01-27 12:19:43.656] [DEBUG]    [ActuatorController] SM_TYPE IS EJECTOR ...1
[2025-01-27 12:19:43.656] [TRACE]    [Dispatcher] Connecting ActuatorController... actuatorController1
[2025-01-27 12:19:43.657] [TRACE]    [ActuatorController] 0: Replying to connection...
[2025-01-27 12:19:43.658] [TRACE]    [Dispatcher] Replying to connection...
[2025-01-27 12:19:43.659] [TRACE]    [PulseMsgHandler] Creating GNS channel...
[2025-01-27 12:19:43.660] [TRACE]    [PulseMsgHandler] Created GNS channel...
[2025-01-27 12:19:43.862] [TRACE]    [HeartBeat] MSGHANDLER ONLINE...
[2025-01-27 12:19:43.863] [TRACE]    [PulseMsgHandler] Creating GNS channel...
[2025-01-27 12:19:43.863] [TRACE]    [PulseMsgHandler] Created GNS channel...
[2025-01-27 12:19:43.865] [TRACE]    [Dispatcher] Replying to connection...
[2025-01-27 12:19:43.866] [DEBUG]    [FSMController] sorting Moduel on FST_1 ist EJECTOR!...0
[2025-01-27 12:19:47.155] [DEBUG]    [HeightSensorControl] sending BANDHEIGHT_FST_1: 3713
[2025-01-27 12:19:47.155] [DEBUG]    [FSMController] received PULSE_BANDHEIGHT Festo 1..3713
[2025-01-27 12:19:48.925] [TRACE]    [Dispatcher] Replying to connection...
[2025-01-27 12:19:48.935] [TRACE]    [Dispatcher] Replying to connection...
[2025-01-27 12:19:48.936] [TRACE]    [Dispatcher] received PULSE_SUBSCRIBE...
[2025-01-27 12:19:48.937] [TRACE]    [Dispatcher] Connecting ActuatorController... actuatorController2
[2025-01-27 12:19:48.941] [DEBUG]    [FSMController] sorting Moduel on FST_2 is DIVERTER!...1
[2025-01-27 12:19:48.942] [TRACE]    [Dispatcher] Replying to connection...
[2025-01-27 12:19:48.948] [TRACE]    [HeartBeat] 0: Replying to connection...
[2025-01-27 12:19:48.949] [TRACE]    [FSMController] received PULSE_RECONNECT_HEARTBEAT_FESTO(from FST2)...
[2025-01-27 12:19:49.050] [DEBUG]    [HeartBeat] MessageReceiveOnce First Heartbeat!!
[2025-01-27 12:19:49.146] [TRACE]    [HeartBeat] MSGSENDER ONLINE AND OTHER FESTO FOUND...
[2025-01-27 12:19:49.147] [TRACE]    [FSMController] received PULSE_RECONNECT_HEARTBEAT_FESTO(from FST1)...
[2025-01-27 12:19:49.152] [TRACE]    [Dispatcher] Replying to connection...
[2025-01-27 12:19:52.443] [DEBUG]    [FSMController] received PULSE_BANDHEIGHT Festo 2..3648
[2025-01-27 12:20:00.371] [TRACE]    [FSMController] received PULSE_BGS_LONG...1
[2025-01-27 12:20:00.374] [DEBUG]    [FSMController] received PULSE_MS_FALSE...1
[2025-01-27 12:20:00.404] [TRACE]    [Decoder] decode...
[2025-01-27 12:20:00.404] [TRACE]    [Decoder] LBR erkannt
[2025-01-27 12:20:00.405] [TRACE]    [Decoder] Interrupt received entpacken und weitergabe an dispatcher...
[2025-01-27 12:20:00.405] [TRACE]    [FSMController] received PULSE_LBR_OPEN...0
[2025-01-27 12:20:01.009] [TRACE]    [Decoder] decode...
[2025-01-27 12:20:01.009] [TRACE]    [Decoder] LBR erkannt
[2025-01-27 12:20:01.010] [TRACE]    [Decoder] Interrupt received entpacken und weitergabe an dispatcher...
[2025-01-27 12:20:01.010] [TRACE]    [FSMController] Sending pulse: PULSE_LY1_ON
[2025-01-27 12:20:01.011] [TRACE]    [FSMController] received PULSE_LBR_INTERRUPTED...0
[2025-01-27 12:20:01.012] [TRACE]    [ActuatorController] 0: Festo 1 LED Yellow on......
[2025-01-27 12:20:01.179] [TRACE]    [Decoder] decode...
