[2025-01-27 15:23:23.384] [INFO]     [Main] Application starting...
[2025-01-27 15:23:23.386] [INFO]     [Main] GNS must Be Running...
[2025-01-27 15:23:23.387] [INFO]     [Main] Running as Server -> FESTO1...
The Global Name space is already in use. GNS or another global service is already running.
[2025-01-27 15:23:23.415] [TRACE]    [PulseMsgHandler] Creating GNS channel...
[2025-01-27 15:23:23.416] [TRACE]    [PulseMsgHandler] Created GNS channel...
[2025-01-27 15:23:23.417] [DEBUG]    [Decoder] Initializing Decoder
[2025-01-27 15:23:23.419] [TRACE]    [Dispatcher] Replying to connection...
[2025-01-27 15:23:23.420] [DEBUG]    [Decoder] NAME_FLAG_ATTACH_GLOBAL: 2
[2025-01-27 15:23:23.420] [DEBUG]    [Decoder] dispatcherConnectionID: 1073741830
[2025-01-27 15:23:23.421] [TRACE]    [Dispatcher] Replying to connection...
[2025-01-27 15:23:23.423] [TRACE]    [FSMController] Sending pulse: PULSE_MOTOR1_STOP
[2025-01-27 15:23:23.423] [TRACE]    [FSMController] Sending pulse: PULSE_MOTOR2_STOP
[2025-01-27 15:23:23.424] [TRACE]    [FSMController] Sending pulse: PULSE_LR1_OFF
[2025-01-27 15:23:23.425] [TRACE]    [FSMController] Sending pulse: PULSE_LG1_OFF
[2025-01-27 15:23:23.425] [TRACE]    [FSMController] Sending pulse: PULSE_LG2_OFF
[2025-01-27 15:23:23.426] [TRACE]    [FSMController] Sending pulse: PULSE_LY1_OFF
[2025-01-27 15:23:23.426] [TRACE]    [FSMController] Sending pulse: PULSE_LR2_OFF
[2025-01-27 15:23:23.427] [TRACE]    [FSMController] Sending pulse: PULSE_LY2_OFF
[2025-01-27 15:23:23.429] [TRACE]    [PulseMsgHandler] Creating GNS channel...
[2025-01-27 15:23:23.430] [TRACE]    [PulseMsgHandler] Created GNS channel...
[2025-01-27 15:23:23.431] [TRACE]    [ActuatorController] Connection to Dispatcher...
[2025-01-27 15:23:23.432] [TRACE]    [Dispatcher] Replying to connection...
[2025-01-27 15:23:23.433] [DEBUG]    [ActuatorController] SM_TYPE is ...1
[2025-01-27 15:23:23.433] [TRACE]    [Dispatcher] received PULSE_SUBSCRIBE...
[2025-01-27 15:23:23.434] [DEBUG]    [ActuatorController] SM_TYPE IS EJECTOR ...1
[2025-01-27 15:23:23.434] [TRACE]    [Dispatcher] Connecting ActuatorController... actuatorController1
[2025-01-27 15:23:23.436] [TRACE]    [ActuatorController] 0: Replying to connection...
[2025-01-27 15:23:23.436] [TRACE]    [Dispatcher] Replying to connection...
[2025-01-27 15:23:23.437] [TRACE]    [PulseMsgHandler] Creating GNS channel...
[2025-01-27 15:23:23.438] [TRACE]    [PulseMsgHandler] Created GNS channel...
[2025-01-27 15:23:23.640] [TRACE]    [HeartBeat] MSGHANDLER ONLINE...
[2025-01-27 15:23:23.641] [TRACE]    [PulseMsgHandler] Creating GNS channel...
[2025-01-27 15:23:23.641] [TRACE]    [PulseMsgHandler] Created GNS channel...
[2025-01-27 15:23:23.643] [TRACE]    [Dispatcher] Replying to connection...
[2025-01-27 15:23:23.644] [DEBUG]    [FSMController] sorting Moduel on FST_1 ist EJECTOR!...0
[2025-01-27 15:23:26.933] [DEBUG]    [HeightSensorControl] sending BANDHEIGHT_FST_1: 3717
[2025-01-27 15:23:26.933] [DEBUG]    [FSMController] received PULSE_BANDHEIGHT Festo 1..3717
[2025-01-27 15:23:31.524] [TRACE]    [Dispatcher] Replying to connection...
[2025-01-27 15:23:31.534] [TRACE]    [Dispatcher] Replying to connection...
[2025-01-27 15:23:31.535] [TRACE]    [Dispatcher] received PULSE_SUBSCRIBE...
[2025-01-27 15:23:31.536] [TRACE]    [Dispatcher] Connecting ActuatorController... actuatorController2
[2025-01-27 15:23:31.541] [TRACE]    [Dispatcher] Replying to connection...
[2025-01-27 15:23:31.541] [DEBUG]    [FSMController] sorting Moduel on FST_2 is DIVERTER!...1
[2025-01-27 15:23:31.547] [TRACE]    [HeartBeat] 0: Replying to connection...
[2025-01-27 15:23:31.548] [TRACE]    [FSMController] received PULSE_RECONNECT_HEARTBEAT_FESTO(from FST2)...
[2025-01-27 15:23:31.648] [DEBUG]    [HeartBeat] MessageReceiveOnce First Heartbeat!!
[2025-01-27 15:23:31.745] [TRACE]    [HeartBeat] MSGSENDER ONLINE AND OTHER FESTO FOUND...
[2025-01-27 15:23:31.746] [TRACE]    [FSMController] received PULSE_RECONNECT_HEARTBEAT_FESTO(from FST1)...
[2025-01-27 15:23:31.751] [TRACE]    [Dispatcher] Replying to connection...
[2025-01-27 15:23:35.042] [DEBUG]    [FSMController] received PULSE_BANDHEIGHT Festo 2..2309
[2025-01-27 15:23:38.618] [TRACE]    [Decoder] decode...
[2025-01-27 15:23:38.618] [TRACE]    [Decoder] LBE erkannt
[2025-01-27 15:23:38.619] [TRACE]    [Decoder] Interrupt received entpacken und weitergabe an dispatcher...
[2025-01-27 15:23:38.620] [TRACE]    [FSMController] received PULSE_LBE_OPEN...0
[2025-01-27 15:23:40.757] [TRACE]    [Decoder] decode...
[2025-01-27 15:23:40.758] [TRACE]    [Decoder] current level: 0
[2025-01-27 15:23:40.758] [TRACE]    [Decoder] Interrupt received entpacken und weitergabe an dispatcher...
[2025-01-27 15:23:40.759] [TRACE]    [FSMController] received PULSE_ESTOP_LOW...0
[2025-01-27 15:23:42.002] [TRACE]    [FSMController] received PULSE_ESTOP_LOW...1
[2025-01-27 15:23:42.574] [TRACE]    [FSMController] received PULSE_ESTOP_LOW...1
[2025-01-27 15:23:42.576] [TRACE]    [FSMController] received PULSE_ESTOP_HIGH...1
[2025-01-27 15:23:42.874] [TRACE]    [Decoder] decode...
[2025-01-27 15:23:42.874] [TRACE]    [Decoder] current level: 0
[2025-01-27 15:23:42.875] [TRACE]    [Decoder] Interrupt received entpacken und weitergabe an dispatcher...
[2025-01-27 15:23:42.875] [TRACE]    [FSMController] received PULSE_ESTOP_LOW...0
[2025-01-27 15:23:42.876] [TRACE]    [Decoder] decode...
[2025-01-27 15:23:42.877] [TRACE]    [Decoder] current level: 1
[2025-01-27 15:23:42.877] [TRACE]    [Decoder] Interrupt received entpacken und weitergabe an dispatcher...
[2025-01-27 15:23:42.878] [TRACE]    [FSMController] Sending pulse: PULSE_LG1_OFF
[2025-01-27 15:23:42.879] [TRACE]    [FSMController] Sending pulse: PULSE_LY1_OFF
[2025-01-27 15:23:42.879] [TRACE]    [ActuatorController] 0: Festo 1 LED Green off...
[2025-01-27 15:23:42.880] [TRACE]    [FSMController] Sending pulse: PULSE_LR1_OFF
[2025-01-27 15:23:42.880] [TRACE]    [ActuatorController] 0: Festo 1 LED Yellow off...
[2025-01-27 15:23:42.881] [TRACE]    [FSMController] Sending pulse: PULSE_LG2_OFF
[2025-01-27 15:23:42.881] [TRACE]    [ActuatorController] 0: Festo 1 LED Red off...
[2025-01-27 15:23:42.883] [TRACE]    [FSMController] Sending pulse: PULSE_LY2_OFF
[2025-01-27 15:23:42.884] [TRACE]    [FSMController] Sending pulse: PULSE_LR2_OFF
[2025-01-27 15:23:42.885] [TRACE]    [FSMController] Sending pulse: PULSE_MOTOR1_STOP
[2025-01-27 15:23:42.885] [TRACE]    [PositionTracker.onMotorSlow] [FST2] Motor Slow
[2025-01-27 15:23:42.886] [TRACE]    [ActuatorController] [Festo1] Motor stop
[2025-01-27 15:23:42.887] [TRACE]    [FSMController] Sending pulse: PULSE_MOTOR2_STOP
[2025-01-27 15:23:42.887] [WARNING]  [PositionTracker.onSortingModuleResting] [FST1]
[2025-01-27 15:23:42.888] [TRACE]    [FSMController] Sending pulse: PULSE_SM1_RESTING
[2025-01-27 15:23:42.889] [WARNING]  [PositionTracker.onSortingModuleResting] [FST2]
[2025-01-27 15:23:42.889] [TRACE]    [ActuatorController] 0: Festo 1 SM Resting......
[2025-01-27 15:23:42.890] [TRACE]    [FSMController] Sending pulse: PULSE_SM2_RESTING
[2025-01-27 15:23:42.891] [TRACE]    [FSMController] Sending pulse: PULSE_BRSL1_OFF
[2025-01-27 15:23:42.892] [TRACE]    [FSMController] Sending pulse: PULSE_BGSL1_OFF
[2025-01-27 15:23:42.892] [TRACE]    [ActuatorController] 0: Festo 1 BUTTON RESET LED OFF
[2025-01-27 15:23:42.892] [TRACE]    [FSMController] Sending pulse: PULSE_BRSL2_OFF
[2025-01-27 15:23:42.893] [TRACE]    [ActuatorController] 0: Festo 1 BUTTON START LED OFF
[2025-01-27 15:23:42.894] [TRACE]    [FSMController] Sending pulse: PULSE_BGSL2_OFF
[2025-01-27 15:23:42.895] [TRACE]    [FSMController] Sending pulse: PULSE_Q11_OFF
[2025-01-27 15:23:42.896] [TRACE]    [FSMController] Sending pulse: PULSE_Q12_OFF
[2025-01-27 15:23:42.896] [TRACE]    [ActuatorController] 0: Festo 1 LED Q1 off......
[2025-01-27 15:23:42.897] [TRACE]    [FSMController] Sending pulse: PULSE_Q21_OFF
[2025-01-27 15:23:42.898] [TRACE]    [FSMController] Sending pulse: PULSE_Q22_OFF
[2025-01-27 15:23:42.898] [TRACE]    [ActuatorController] 0: Festo 1 LED Q2 off......
[2025-01-27 15:23:42.899] [TRACE]    [FSMController] Sending pulse: PULSE_BGSL1_ON
[2025-01-27 15:23:42.900] [TRACE]    [FSMController] Sending pulse: PULSE_BGSL2_ON
[2025-01-27 15:23:42.901] [TRACE]    [ActuatorController] 0: Festo 1 BUTTON START LED ON
[2025-01-27 15:23:42.902] [TRACE]    [FSMController] received PULSE_ESTOP_HIGH...0
[2025-01-27 15:23:43.771] [TRACE]    [Decoder] decode...
[2025-01-27 15:23:43.772] [TRACE]    [Decoder] BGS gedrueckt
[2025-01-27 15:23:43.772] [TRACE]    [Decoder] Interrupt received entpacken und weitergabe an dispatcher...
[2025-01-27 15:23:43.952] [TRACE]    [Decoder] decode...
[2025-01-27 15:23:43.952] [TRACE]    [Decoder] BGS losgelassen
[2025-01-27 15:23:43.953] [TRACE]    [Decoder] BGS_SHORT erkannt
[2025-01-27 15:23:43.954] [TRACE]    [Decoder] Interrupt received entpacken und weitergabe an dispatcher...
[2025-01-27 15:23:43.954] [TRACE]    [FSMController] Sending pulse: PULSE_BGSL1_OFF
[2025-01-27 15:23:43.955] [TRACE]    [FSMController] Sending pulse: PULSE_BGSL2_OFF
[2025-01-27 15:23:43.955] [TRACE]    [ActuatorController] 0: Festo 1 BUTTON START LED OFF
[2025-01-27 15:23:43.957] [TRACE]    [FSMController] Sending pulse: PULSE_LG1_ON
[2025-01-27 15:23:43.957] [TRACE]    [FSMController] Sending pulse: PULSE_LG2_ON
[2025-01-27 15:23:43.958] [TRACE]    [ActuatorController] 0: Festo 1 LED Green on......
[2025-01-27 15:23:43.959] [TRACE]    [FSMController] received PULSE_BGS_SHORT...0
[2025-01-27 15:23:47.119] [TRACE]    [Decoder] decode...
[2025-01-27 15:23:47.119] [TRACE]    [Decoder] LBF erkannt
[2025-01-27 15:23:47.120] [TRACE]    [Decoder] Interrupt received entpacken und weitergabe an dispatcher...
[2025-01-27 15:23:47.120] [TRACE]    [FSMController] Sending pulse: PULSE_MOTOR1_FAST
[2025-01-27 15:23:47.121] [TRACE]    [FSMController] Sending pulse: PULSE_LG1_ON
[2025-01-27 15:23:47.122] [TRACE]    [ActuatorController] [Festo1] Motor fast
[2025-01-27 15:23:47.123] [TRACE]    [FSMController] received PULSE_LBF_INTERRUPTED LBF_1...0
[2025-01-27 15:23:47.123] [TRACE]    [ActuatorController] 0: Festo 1 LED Green blinking(500Hz)...
[2025-01-27 15:23:47.510] [TRACE]    [Decoder] decode...
[2025-01-27 15:23:47.511] [TRACE]    [Decoder] LBF erkannt
[2025-01-27 15:23:47.512] [TRACE]    [Decoder] Interrupt received entpacken und weitergabe an dispatcher...
