[2025-01-27 18:42:58.483] [INFO]     [Main] Application starting...
[2025-01-27 18:42:58.485] [INFO]     [Main] GNS must Be Running...
[2025-01-27 18:42:58.486] [INFO]     [Main] Running as Server -> FESTO1...
[2025-01-27 18:42:58.515] [TRACE]    [PulseMsgHandler] Creating GNS channel...
[2025-01-27 18:42:58.517] [TRACE]    [PulseMsgHandler] Created GNS channel...
[2025-01-27 18:42:58.519] [DEBUG]    [Decoder] Initializing Decoder
[2025-01-27 18:42:58.520] [TRACE]    [Dispatcher] Replying to connection...
[2025-01-27 18:42:58.521] [DEBUG]    [Decoder] NAME_FLAG_ATTACH_GLOBAL: 2
[2025-01-27 18:42:58.523] [DEBUG]    [Decoder] dispatcherConnectionID: 1073741830
[2025-01-27 18:42:58.524] [TRACE]    [Dispatcher] Replying to connection...
[2025-01-27 18:42:58.526] [TRACE]    [FSMController] Sending pulse: PULSE_MOTOR1_STOP
[2025-01-27 18:42:58.527] [TRACE]    [FSMController] Sending pulse: PULSE_MOTOR2_STOP
[2025-01-27 18:42:58.528] [TRACE]    [FSMController] Sending pulse: PULSE_LR1_OFF
[2025-01-27 18:42:58.529] [TRACE]    [FSMController] Sending pulse: PULSE_LG1_OFF
[2025-01-27 18:42:58.530] [TRACE]    [FSMController] Sending pulse: PULSE_LG2_OFF
[2025-01-27 18:42:58.531] [TRACE]    [FSMController] Sending pulse: PULSE_LY1_OFF
[2025-01-27 18:42:58.532] [TRACE]    [FSMController] Sending pulse: PULSE_LR2_OFF
[2025-01-27 18:42:58.532] [TRACE]    [FSMController] Sending pulse: PULSE_LY2_OFF
[2025-01-27 18:42:58.535] [TRACE]    [PulseMsgHandler] Creating GNS channel...
[2025-01-27 18:42:58.536] [TRACE]    [PulseMsgHandler] Created GNS channel...
[2025-01-27 18:42:58.538] [TRACE]    [ActuatorController] Connection to Dispatcher...
[2025-01-27 18:42:58.539] [TRACE]    [Dispatcher] Replying to connection...
[2025-01-27 18:42:58.540] [DEBUG]    [ActuatorController] SM_TYPE is ...1
[2025-01-27 18:42:58.541] [TRACE]    [Dispatcher] received PULSE_SUBSCRIBE...
[2025-01-27 18:42:58.542] [TRACE]    [Dispatcher] Connecting ActuatorController... actuatorController1
[2025-01-27 18:42:58.542] [DEBUG]    [ActuatorController] SM_TYPE IS EJECTOR ...1
[2025-01-27 18:42:58.544] [TRACE]    [ActuatorController] 0: Replying to connection...
[2025-01-27 18:42:58.546] [TRACE]    [Dispatcher] Replying to connection...
[2025-01-27 18:42:58.547] [TRACE]    [PulseMsgHandler] Creating GNS channel...
[2025-01-27 18:42:58.548] [TRACE]    [PulseMsgHandler] Created GNS channel...
[2025-01-27 18:42:58.750] [TRACE]    [HeartBeat] MSGHANDLER ONLINE...
[2025-01-27 18:42:58.751] [TRACE]    [PulseMsgHandler] Creating GNS channel...
[2025-01-27 18:42:58.753] [TRACE]    [PulseMsgHandler] Created GNS channel...
[2025-01-27 18:42:58.754] [TRACE]    [Dispatcher] Replying to connection...
[2025-01-27 18:42:58.756] [DEBUG]    [FSMController] sorting Moduel on FST_1 ist EJECTOR!...0
[2025-01-27 18:43:02.044] [DEBUG]    [HeightSensorControl] sending BANDHEIGHT_FST_1: 3715
[2025-01-27 18:43:02.045] [DEBUG]    [FSMController] received PULSE_BANDHEIGHT Festo 1..3715
[2025-01-27 18:43:06.463] [TRACE]    [Dispatcher] Replying to connection...
[2025-01-27 18:43:06.472] [TRACE]    [Dispatcher] Replying to connection...
[2025-01-27 18:43:06.474] [TRACE]    [Dispatcher] received PULSE_SUBSCRIBE...
[2025-01-27 18:43:06.475] [TRACE]    [Dispatcher] Connecting ActuatorController... actuatorController2
[2025-01-27 18:43:06.478] [TRACE]    [Dispatcher] Replying to connection...
[2025-01-27 18:43:06.479] [DEBUG]    [FSMController] sorting Moduel on FST_2 is DIVERTER!...1
[2025-01-27 18:43:06.483] [TRACE]    [HeartBeat] 0: Replying to connection...
[2025-01-27 18:43:06.485] [TRACE]    [FSMController] received PULSE_RECONNECT_HEARTBEAT_FESTO(from FST2)...
[2025-01-27 18:43:06.586] [DEBUG]    [HeartBeat] MessageReceiveOnce First Heartbeat!!
[2025-01-27 18:43:06.683] [TRACE]    [HeartBeat] MSGSENDER ONLINE AND OTHER FESTO FOUND...
[2025-01-27 18:43:06.684] [TRACE]    [FSMController] received PULSE_RECONNECT_HEARTBEAT_FESTO(from FST1)...
[2025-01-27 18:43:06.688] [TRACE]    [Dispatcher] Replying to connection...
[2025-01-27 18:43:09.978] [DEBUG]    [FSMController] received PULSE_BANDHEIGHT Festo 2..3648
[2025-01-27 18:43:14.072] [TRACE]    [FSMController] received PULSE_ESTOP_LOW...1
[2025-01-27 18:43:14.595] [TRACE]    [FSMController] received PULSE_ESTOP_HIGH...1
[2025-01-27 18:43:14.599] [TRACE]    [FSMController] received PULSE_ESTOP_HIGH...1
[2025-01-27 18:43:16.390] [TRACE]    [Decoder] decode...
[2025-01-27 18:43:16.390] [TRACE]    [Decoder] current level: 0
[2025-01-27 18:43:16.392] [TRACE]    [Decoder] Interrupt received entpacken und weitergabe an dispatcher...
[2025-01-27 18:43:16.392] [TRACE]    [FSMController] received PULSE_ESTOP_LOW...0
[2025-01-27 18:43:17.172] [TRACE]    [Decoder] decode...
[2025-01-27 18:43:17.172] [TRACE]    [Decoder] current level: 1
[2025-01-27 18:43:17.174] [TRACE]    [Decoder] Interrupt received entpacken und weitergabe an dispatcher...
[2025-01-27 18:43:17.174] [TRACE]    [FSMController] Sending pulse: PULSE_LG1_OFF
[2025-01-27 18:43:17.176] [TRACE]    [Decoder] decode...
[2025-01-27 18:43:17.176] [TRACE]    [FSMController] Sending pulse: PULSE_LY1_OFF
[2025-01-27 18:43:17.177] [TRACE]    [ActuatorController] 0: Festo 1 LED Green off...
[2025-01-27 18:43:17.178] [TRACE]    [Decoder] current level: 1
[2025-01-27 18:43:17.179] [TRACE]    [FSMController] Sending pulse: PULSE_LR1_OFF
[2025-01-27 18:43:17.179] [TRACE]    [ActuatorController] 0: Festo 1 LED Yellow off...
[2025-01-27 18:43:17.181] [TRACE]    [Decoder] Interrupt received entpacken und weitergabe an dispatcher...
[2025-01-27 18:43:17.181] [TRACE]    [FSMController] Sending pulse: PULSE_LG2_OFF
[2025-01-27 18:43:17.182] [TRACE]    [ActuatorController] 0: Festo 1 LED Red off...
[2025-01-27 18:43:17.184] [TRACE]    [FSMController] Sending pulse: PULSE_LY2_OFF
[2025-01-27 18:43:17.185] [TRACE]    [FSMController] Sending pulse: PULSE_LR2_OFF
[2025-01-27 18:43:17.187] [TRACE]    [FSMController] Sending pulse: PULSE_MOTOR1_STOP
[2025-01-27 18:43:17.188] [TRACE]    [PositionTracker.onMotorSlow] [FST2] Motor Slow
[2025-01-27 18:43:17.189] [TRACE]    [ActuatorController] [Festo1] Motor stop
[2025-01-27 18:43:17.190] [TRACE]    [FSMController] Sending pulse: PULSE_MOTOR2_STOP
[2025-01-27 18:43:17.192] [WARNING]  [PositionTracker.onSortingModuleResting] [FST1]
[2025-01-27 18:43:17.193] [TRACE]    [FSMController] Sending pulse: PULSE_SM1_RESTING
[2025-01-27 18:43:17.194] [WARNING]  [PositionTracker.onSortingModuleResting] [FST2]
[2025-01-27 18:43:17.194] [TRACE]    [ActuatorController] 0: Festo 1 SM Resting......
[2025-01-27 18:43:17.196] [TRACE]    [FSMController] Sending pulse: PULSE_SM2_RESTING
[2025-01-27 18:43:17.197] [TRACE]    [FSMController] Sending pulse: PULSE_BRSL1_OFF
[2025-01-27 18:43:17.198] [TRACE]    [FSMController] Sending pulse: PULSE_BGSL1_OFF
[2025-01-27 18:43:17.198] [TRACE]    [ActuatorController] 0: Festo 1 BUTTON RESET LED OFF
[2025-01-27 18:43:17.200] [TRACE]    [FSMController] Sending pulse: PULSE_BRSL2_OFF
[2025-01-27 18:43:17.200] [TRACE]    [ActuatorController] 0: Festo 1 BUTTON START LED OFF
[2025-01-27 18:43:17.202] [TRACE]    [FSMController] Sending pulse: PULSE_BGSL2_OFF
[2025-01-27 18:43:17.203] [TRACE]    [FSMController] Sending pulse: PULSE_Q11_OFF
[2025-01-27 18:43:17.205] [TRACE]    [FSMController] Sending pulse: PULSE_Q12_OFF
[2025-01-27 18:43:17.205] [TRACE]    [ActuatorController] 0: Festo 1 LED Q1 off......
[2025-01-27 18:43:17.207] [TRACE]    [FSMController] Sending pulse: PULSE_Q21_OFF
[2025-01-27 18:43:17.208] [TRACE]    [FSMController] Sending pulse: PULSE_Q22_OFF
[2025-01-27 18:43:17.208] [TRACE]    [ActuatorController] 0: Festo 1 LED Q2 off......
[2025-01-27 18:43:17.210] [TRACE]    [FSMController] Sending pulse: PULSE_BGSL1_ON
[2025-01-27 18:43:17.211] [TRACE]    [FSMController] Sending pulse: PULSE_BGSL2_ON
[2025-01-27 18:43:17.212] [TRACE]    [ActuatorController] 0: Festo 1 BUTTON START LED ON
[2025-01-27 18:43:17.214] [TRACE]    [FSMController] received PULSE_ESTOP_HIGH...0
[2025-01-27 18:43:17.215] [TRACE]    [FSMController] received PULSE_ESTOP_HIGH...0
[2025-01-27 18:43:18.178] [TRACE]    [Decoder] decode...
[2025-01-27 18:43:18.178] [TRACE]    [Decoder] BGS gedrueckt
[2025-01-27 18:43:18.180] [TRACE]    [Decoder] Interrupt received entpacken und weitergabe an dispatcher...
[2025-01-27 18:43:18.524] [TRACE]    [Decoder] decode...
[2025-01-27 18:43:18.524] [TRACE]    [Decoder] BGS losgelassen
[2025-01-27 18:43:18.526] [TRACE]    [Decoder] BGS_SHORT erkannt
[2025-01-27 18:43:18.527] [TRACE]    [Decoder] Interrupt received entpacken und weitergabe an dispatcher...
[2025-01-27 18:43:18.527] [TRACE]    [FSMController] received PULSE_BGS_SHORT...0
[2025-01-27 18:43:20.879] [TRACE]    [FSMController] received PULSE_BGS_SHORT...1
