[2000-01-01 11:34:53.568] [INFO]     [Main] Application starting...
[2000-01-01 11:34:53.569] [INFO]     [Main] GNS must Be Running...
[2000-01-01 11:34:53.571] [INFO]     [Main] Running as Client -> FESTO2...
[2000-01-01 11:34:53.670] [DEBUG]    [Decoder] Initializing Decoder
[2000-01-01 11:34:53.677] [DEBUG]    [Decoder] NAME_FLAG_ATTACH_GLOBAL: 2
[2000-01-01 11:34:53.678] [DEBUG]    [Decoder] dispatcherConnectionID: 1073741828
[2000-01-01 11:34:53.679] [DEBUG]    [Main] Decoder created
[2000-01-01 11:34:53.680] [TRACE]    [PulseMsgHandler] Creating GNS channel...
[2000-01-01 11:34:53.682] [TRACE]    [PulseMsgHandler] Created GNS channel...
[2000-01-01 11:34:53.683] [DEBUG]    [Main] ActuatorController created
[2000-01-01 11:34:53.685] [TRACE]    [ActuatorController] HBThread started...
[2000-01-01 11:34:53.685] [TRACE]    [ActuatorController] Connection to Dispatcher...
[2000-01-01 11:34:53.688] [DEBUG]    [ActuatorController] SM_TYPE is ...0
[2000-01-01 11:34:53.688] [DEBUG]    [ActuatorController] SM_TYPE IS DIVERTER ...0
[2000-01-01 11:34:53.693] [TRACE]    [ActuatorController] 1: Replying to connection...
[2000-01-01 11:34:53.695] [TRACE]    [PulseMsgHandler] Creating GNS channel...
[2000-01-01 11:34:53.697] [TRACE]    [PulseMsgHandler] Created GNS channel...
[2000-01-01 11:34:53.701] [TRACE]    [HeartBeat] MSGSENDER ONLINE AND OTHER FESTO FOUND...
[2000-01-01 11:34:53.899] [TRACE]    [HeartBeat] MSGHANDLER ONLINE...
[2000-01-01 11:34:53.899] [TRACE]    [HeartBeat] 1: Replying to connection...
[2000-01-01 11:34:53.901] [TRACE]    [PulseMsgHandler] Creating GNS channel...
[2000-01-01 11:34:53.903] [TRACE]    [PulseMsgHandler] Created GNS channel...
[2000-01-01 11:34:54.001] [DEBUG]    [HeartBeat] MessageReceiveOnce First Heartbeat!!
[2000-01-01 11:34:57.195] [DEBUG]    [HeightSensorControl] sending BANDHEIGHT_FST_2: 3647
[2000-01-01 11:34:58.772] [TRACE]    [Decoder] decode...
[2000-01-01 11:34:58.772] [TRACE]    [Decoder] current level: 0
[2000-01-01 11:34:58.774] [TRACE]    [Decoder] Interrupt received entpacken und weitergabe an dispatcher...
[2000-01-01 11:34:59.329] [TRACE]    [Decoder] decode...
[2000-01-01 11:34:59.329] [TRACE]    [Decoder] current level: 0
[2000-01-01 11:34:59.331] [TRACE]    [Decoder] Interrupt received entpacken und weitergabe an dispatcher...
[2000-01-01 11:34:59.332] [TRACE]    [Decoder] decode...
[2000-01-01 11:34:59.332] [TRACE]    [Decoder] current level: 1
[2000-01-01 11:34:59.334] [TRACE]    [Decoder] Interrupt received entpacken und weitergabe an dispatcher...
[2000-01-01 11:35:00.221] [TRACE]    [ActuatorController] 1: Festo 2 LED Green off...
[2000-01-01 11:35:00.224] [TRACE]    [ActuatorController] 1: Festo 2 LED Yellow off...
[2000-01-01 11:35:00.227] [TRACE]    [ActuatorController] 1: Festo 2 LED Red off...
[2000-01-01 11:35:00.232] [TRACE]    [ActuatorController] 1: Motor Festo 2 will be stopped...
[2000-01-01 11:35:00.237] [TRACE]    [ActuatorController] 1: Festo 2 SM Resting......
[2000-01-01 11:35:00.241] [TRACE]    [ActuatorController] 1: Festo 2 BUTTON RESET LED OFF
[2000-01-01 11:35:00.243] [TRACE]    [ActuatorController] 1: Festo 2 BUTTON START LED OFF
[2000-01-01 11:35:00.246] [TRACE]    [ActuatorController] 1: Festo 2 LED Q1 off......
[2000-01-01 11:35:00.249] [TRACE]    [ActuatorController] 1: Festo 2 LED Q2 off......
[2000-01-01 11:35:00.252] [TRACE]    [ActuatorController] 1: Festo 2 BUTTON START LED ON
[2000-01-01 11:35:00.715] [TRACE]    [Decoder] decode...
[2000-01-01 11:35:00.716] [TRACE]    [Decoder] BGS gedrueckt
[2000-01-01 11:35:00.716] [TRACE]    [Decoder] Interrupt received entpacken und weitergabe an dispatcher...
[2000-01-01 11:35:00.809] [TRACE]    [Decoder] decode...
[2000-01-01 11:35:00.810] [TRACE]    [Decoder] BGS losgelassen
[2000-01-01 11:35:00.811] [TRACE]    [Decoder] BGS_SHORT erkannt
[2000-01-01 11:35:00.812] [TRACE]    [Decoder] Interrupt received entpacken und weitergabe an dispatcher...
